Title,Rating,Year,Duration,Votes,Director,MetaScore,Predicted Rating
127. Женщина не в себе,8.0,1974.0,2h,30000,John Cassavetes,88.0,8.0
128. Сказки туманной луны после дождя,8.1,1953.0,1h,26000,Kenji Mizoguchi,0.0,8.1
129. Рио Браво,8.0,1959.0,2h,69000,Howard Hawks,93.0,8.0
130. Уступи место завтрашнему дню,8.2,1937.0,1h,8000,Leo McCarey,0.0,8.2
131. Мир Апу,8.4,1959.0,1h,17000,Satyajit Ray,0.0,8.4
"132. Наудачу, Бальтазар",7.7,1966.0,1h,23000,Robert Bresson,98.0,7.7
133. Песнь дороги,8.2,1955.0,2h,39000,Satyajit Ray,0.0,8.2
134. Дилижанс,7.8,1939.0,1h,55000,John Ford,93.0,7.8
135. Умберто Д.,8.2,1952.0,1h,29000,Vittorio De Sica,92.0,8.2
136. Криминальное чтиво,8.9,1994.0,2h,3000000,Quentin Tarantino,95.0,8.900000000000002
137. Аталанта,7.7,1934.0,1h,18000,Jean Vigo,0.0,7.7
138. Анатомия убийства,8.0,1959.0,2h,73000,Otto Preminger,95.0,8.0
139. Выпускник,8.0,1967.0,1h,292000,Mike Nichols,83.0,8.0
140. Воспитание крошки,7.8,1938.0,1h,67000,Howard Hawks,91.0,7.8
141. Магазинчик за углом,8.0,1940.0,1h,39000,Ernst Lubitsch,96.0,8.0
142. Утиный суп,7.7,1933.0,1h,63000,Leo McCarey,93.0,7.7
143. Разговор,7.7,1974.0,1h,124000,Francis Ford Coppola,88.0,7.7
144. Сияние,8.4,1980.0,2h,1000000,Stanley Kubrick,68.0,8.4
145. Трамвай «Желание»,7.9,1951.0,2h,116000,Elia Kazan,97.0,7.9
146. Алчность,8.0,1924.0,2h,11000,Erich von Stroheim,0.0,8.0
147. Дни жатвы,7.7,1978.0,1h,64000,Terrence Malick,94.0,7.7
"148. Рим, открытый город",8.0,1945.0,1h,30000,Roberto Rossellini,0.0,8.0
149. Французский связной,7.7,1971.0,1h,138000,William Friedkin,94.0,7.7
150. Кинг Конг,7.9,1933.0,1h,92000,Merian C. Cooper,92.0,7.9
151. Удел человеческий,8.5,1959.0,3h,7000,Masaki Kobayashi,0.0,8.5
152. Неприятности в раю,7.9,1932.0,1h,16000,Ernst Lubitsch,0.0,7.9
153. Сталкер,8.0,1979.0,2h,147000,Andrei Tarkovsky,85.0,8.0
154. Ребекка,8.1,1940.0,2h,149000,Alfred Hitchcock,86.0,8.1
"155. Жанна Дильман, набережная коммерции 23, Брюссель 1080",7.5,1975.0,3h,15000,Chantal Akerman,94.0,7.499999999999999
156. Непрощенный,8.2,1992.0,2h,442000,Clint Eastwood,85.0,8.2
157. Тонкий человек,7.9,1934.0,1h,33000,W.S. Van Dyke,86.0,7.9
158. Леди Ева,7.7,1941.0,1h,24000,Preston Sturges,96.0,7.7
159. Рокко и его братья,8.2,1960.0,2h,22000,Luchino Visconti,84.0,8.2
160. Дорога,8.0,1954.0,1h,67000,Federico Fellini,0.0,8.0
161. Война и мир,8.3,1965.0,6h,5000,Sergey Bondarchuk,0.0,8.3
162. Вкус сайры,8.0,1962.0,1h,11000,Yasujirô Ozu,91.0,8.0
163. Шепоты и крики,7.9,1972.0,1h,38000,Ingmar Bergman,0.0,7.9
164. Бен-Гур,8.1,1959.0,3h,257000,William Wyler,90.0,8.1
165. Рокки,8.1,1976.0,2h,640000,John G. Avildsen,70.0,8.1
166. Монти Пайтон и священный Грааль,8.2,1975.0,1h,577000,Terry Gilliam,91.0,8.2
167. Леди исчезает,7.7,1938.0,1h,58000,Alfred Hitchcock,98.0,7.7
168. Звуки музыки,8.1,1965.0,2h,266000,Robert Wise,63.0,8.1
169. Красная борода,8.3,1965.0,3h,22000,Akira Kurosawa,90.0,8.3
170. Солярис,7.9,1972.0,2h,100000,Andrei Tarkovsky,93.0,7.9
171. Красавица и чудовище,7.9,1946.0,1h,28000,Jean Cocteau,92.0,7.9
172. Бегущий по лезвию,8.1,1982.0,1h,835000,Ridley Scott,84.0,8.1
173. Зеркало,7.9,1975.0,1h,53000,Andrei Tarkovsky,82.0,7.9
174. Последний киносеанс,8.0,1971.0,1h,53000,Peter Bogdanovich,93.0,8.0
175. Дыра,8.5,1960.0,2h,21000,Jacques Becker,0.0,8.5
176. Последний человек,8.0,1924.0,1h,15000,F.W. Murnau,0.0,8.0
177. Самурай,8.0,1967.0,1h,60000,Jean-Pierre Melville,90.0,8.0
178. Малыш,8.2,1921.0,1h,137000,Charles Chaplin,0.0,8.2
179. Клео от 5 до 7,7.8,1962.0,1h,28000,Agnès Varda,87.0,7.8
180. Ребенок Розмари,8.0,1968.0,2h,240000,Roman Polanski,96.0,8.0
181. Забытые,8.2,1950.0,1h,22000,Luis Buñuel,0.0,8.2
182. Свидетель обвинения,8.4,1957.0,1h,141000,Billy Wilder,76.0,8.4
183. Хладнокровный Люк,8.1,1967.0,2h,191000,Stuart Rosenberg,92.0,8.1
184. Моя прекрасная леди,7.7,1964.0,2h,103000,George Cukor,95.0,7.7
"185. Париж, Техас",8.1,1984.0,2h,124000,Wim Wenders,81.0,8.1
186. Цирк,8.1,1928.0,1h,37000,Charles Chaplin,90.0,8.1
187. Властелин колец: Возвращение короля,9.0,2003.0,3h,2000000,Peter Jackson,94.0,9.000000000000002
188. Фантазия,7.7,1940.0,2h,105000,James Algar,96.0,7.7
189. Восхождение,8.2,1977.0,1h,10000,Larisa Shepitko,0.0,8.2
190. Цилиндр,7.7,1935.0,1h,21000,Mark Sandrich,93.0,7.7
191. В прошлом году в Мариенбаде,7.6,1961.0,1h,25000,Alain Resnais,0.0,7.599999999999999
192. Ночь,7.9,1961.0,2h,25000,Michelangelo Antonioni,0.0,7.9
193. Шербурские зонтики,7.8,1964.0,1h,32000,Jacques Demy,86.0,7.8
194. Кабинет доктора Калигари,8.0,1920.0,1h,71000,Robert Wiene,0.0,8.0
195. Кто боится Вирджинии Вульф?,8.0,1966.0,2h,81000,Mike Nichols,75.0,8.0
196. Сквозь тёмное стекло,7.9,1961.0,1h,28000,Ingmar Bergman,84.0,7.9
197. Великолепие Амберсонов,7.6,1942.0,1h,27000,Orson Welles,93.0,7.599999999999999
198. Паттон,7.9,1970.0,2h,109000,Franklin J. Schaffner,86.0,7.9
199. Мужские разборки,8.1,1955.0,1h,37000,Jules Dassin,97.0,8.1
200. Вся президентская рать,7.9,1976.0,2h,128000,Alan J. Pakula,84.0,7.9
201. Конформист,7.9,1970.0,1h,34000,Bernardo Bertolucci,100.0,7.9
202. Крупный план,8.2,1990.0,1h,24000,Abbas Kiarostami,92.0,8.2
203. Ужасная правда,7.7,1937.0,1h,22000,Leo McCarey,87.0,7.7
204. Фауст,8.1,1926.0,1h,17000,F.W. Murnau,0.0,8.1
205. Инопланетянин,7.9,1982.0,1h,444000,Steven Spielberg,92.0,7.9
206. Удел человеческий 2,8.5,1959.0,3h,7000,Masaki Kobayashi,0.0,8.5
207. Приключение,7.7,1960.0,2h,33000,Michelangelo Antonioni,0.0,7.7
208. Из прошлого,8.0,1947.0,1h,42000,Jacques Tourneur,85.0,8.0
209. С собой не унесешь,7.8,1938.0,2h,28000,Frank Capra,0.0,7.8
210. Назад в будущее,8.5,1985.0,1h,3000000,Robert Zemeckis,87.0,8.5
211. Непокоренный,8.2,1956.0,1h,16000,Satyajit Ray,0.0,8.2
212. Могила светлячков,8.5,1988.0,1h,322000,Isao Takahata,94.0,8.5
213. На последнем дыхании,7.7,1960.0,1h,89000,Jean-Luc Godard,0.0,7.7
214. Буч Кэссиди и Сандэнс Кид,8.0,1969.0,1h,229000,George Roy Hill,66.0,8.0
215. Глубокий сон,7.9,1946.0,1h,92000,Howard Hawks,86.0,7.9
216. Делай как надо,8.0,1989.0,2h,115000,Spike Lee,93.0,8.0
217. Американская ночь,8.0,1973.0,1h,25000,François Truffaut,0.0,8.0
218. Тень сомнения,7.8,1943.0,1h,72000,Alfred Hitchcock,94.0,7.8
219. Унесённые призраками,8.6,2001.0,2h,872000,Hayao Miyazaki,96.0,8.6
220. Я - Куба,8.2,1964.0,2h,11000,Mikhail Kalatozov,91.0,8.2
221. Толпа,8.1,1928.0,1h,4000,King Vidor,0.0,8.1
222. Жюль и Джим,7.7,1962.0,1h,45000,François Truffaut,97.0,7.7
223. Яркий летний день,8.2,1991.0,3h,13000,Edward Yang,91.0,8.2
224. Властелин колец: Братство кольца,8.9,2001.0,2h,2000000,Peter Jackson,92.0,8.900000000000002
225. Человек-Слон,8.2,1980.0,2h,262000,David Lynch,78.0,8.2
226. Восставшие,8.3,1967.0,2h,14000,Masaki Kobayashi,90.0,8.3
227. Ангел-истребитель,8.0,1962.0,1h,36000,Luis Buñuel,0.0,8.0
228. Мистер Смит едет в Вашингтон,8.1,1939.0,2h,123000,Frank Capra,73.0,8.1
229. Весь этот джаз,7.8,1979.0,2h,36000,Bob Fosse,72.0,7.8
230. Моя дорогая Клементина,7.7,1946.0,1h,26000,John Ford,0.0,7.7
231. Дерсу Узала,8.2,1975.0,2h,34000,Akira Kurosawa,0.0,8.2
232. Взвод,8.1,1986.0,2h,446000,Oliver Stone,92.0,8.1
233. Незнакомцы в поезде,7.9,1951.0,1h,143000,Alfred Hitchcock,88.0,7.9
234. Три цвета: Красный,8.1,1994.0,1h,112000,Krzysztof Kieslowski,100.0,8.1
235. Марти,7.7,1955.0,1h,28000,Delbert Mann,82.0,7.7
236. Кабаре,7.8,1972.0,2h,60000,Bob Fosse,80.0,7.8
237. Скромное обаяние буржуазии,7.8,1972.0,1h,48000,Luis Buñuel,93.0,7.8
238. Белоснежка и семь гномов,7.6,1937.0,1h,219000,William Cottrell,96.0,7.599999999999999
239. Амаркорд,7.8,1973.0,2h,47000,Federico Fellini,0.0,7.8
240. Трон в крови,8.0,1957.0,1h,57000,Akira Kurosawa,0.0,8.0
241. Потерянный уик-энд,7.9,1945.0,1h,41000,Billy Wilder,0.0,7.9
242. Отныне и во веки веков,7.6,1953.0,1h,52000,Fred Zinnemann,85.0,7.599999999999999
243. Обет,8.3,1962.0,1h,1000,Anselmo Duarte,0.0,8.3
244. Чёрный нарцисс,7.7,1947.0,1h,28000,Michael Powell,86.0,7.7
245. Жизнь куртизанки Охару,8.1,1952.0,2h,8000,Kenji Mizoguchi,0.0,8.1
246. Мятеж на Баунти,7.6,1935.0,2h,25000,Frank Lloyd,87.0,7.599999999999999
247. Римские каникулы,8.0,1953.0,1h,150000,William Wyler,78.0,8.0
248. День гнева,8.1,1943.0,1h,11000,Carl Theodor Dreyer,0.0,8.1
249. Его девушка Пятница,7.8,1940.0,1h,64000,Howard Hawks,0.0,7.8
250. Добрые сердца и короны,8.0,1949.0,1h,40000,Robert Hamer,0.0,8.0
251. Один и два,8.1,2000.0,2h,29000,Edward Yang,94.0,8.1
252. Полуночная жара,7.9,1967.0,1h,85000,Norman Jewison,76.0,7.9
253. Миссис Минивер,7.6,1942.0,2h,20000,William Wyler,0.0,7.599999999999999
"254. Носферату, симфония ужаса",7.9,1922.0,1h,108000,F.W. Murnau,0.0,7.9
255. Красная река,7.8,1948.0,2h,35000,Howard Hawks,96.0,7.8
256. Подводная лодка,8.4,1981.0,2h,268000,Wolfgang Petersen,85.0,8.4
257. Шуша,8.0,1946.0,1h,3000,Vittorio De Sica,0.0,8.0
258. Изгоняющий дьявола,8.1,1973.0,2h,464000,William Friedkin,83.0,8.1
259. Большой побег,8.2,1963.0,2h,262000,John Sturges,86.0,8.2
260. Спасти рядового Райана,8.6,1998.0,2h,5000000,Steven Spielberg,91.0,8.6
261. Ровно в полдень,7.9,1952.0,1h,112000,Fred Zinnemann,89.0,7.9
262. Магазин на площади,8.2,1965.0,2h,9000,Ján Kadár,0.0,8.2
"263. Хиросима, моя любовь",7.8,1959.0,1h,37000,Alain Resnais,0.0,7.8
264. Человек на все времена,7.7,1966.0,2h,38000,Fred Zinnemann,72.0,7.7
265. В случае убийства набирайте «М»,8.2,1954.0,1h,192000,Alfred Hitchcock,75.0,8.2
266. Пустоши,7.7,1973.0,1h,80000,Terrence Malick,93.0,7.7
267. Обыкновенные люди,7.7,1980.0,2h,58000,Robert Redford,86.0,7.7
268. Случай в Окс-Боу,8.0,1942.0,1h,25000,William A. Wellman,0.0,8.0
269. Полуночные колокола,7.6,1965.0,1h,10000,Orson Welles,94.0,7.599999999999999
270. Тайны и ложь,8.0,1996.0,2h,48000,Mike Leigh,92.0,8.0
271. Только у ангелов есть крылья,7.6,1939.0,2h,16000,Howard Hawks,86.0,7.599999999999999
272. Невинные,7.7,1961.0,1h,34000,Jack Clayton,88.0,7.7
273. Наследница,8.1,1949.0,1h,18000,William Wyler,0.0,8.1
274. Баскетбольные мечты,8.3,1994.0,2h,28000,Steve James,98.0,8.3
275. Пятая печать,8.5,1976.0,1h,2000,Zoltán Fábri,0.0,8.5
276. Фотоувеличение,7.4,1966.0,1h,69000,Michelangelo Antonioni,82.0,7.3999999999999995
277. Убийство,7.9,1956.0,1h,100000,Stanley Kubrick,91.0,7.9
278. МакКейб и миссис Миллер,7.6,1971.0,2h,28000,Robert Altman,93.0,7.599999999999999
279. Крамер против Крамера,7.8,1979.0,1h,157000,Robert Benton,77.0,7.8
"280. Родиться-то я родился, но...",7.9,1932.0,1h,3000,Yasujirô Ozu,91.0,7.9
"281. Агирре, гнев божий",7.8,1972.0,1h,63000,Werner Herzog,0.0,7.8
282. Странствия Салливана,7.9,1941.0,1h,29000,Preston Sturges,89.0,7.9
283. Форрест Гамп,8.8,1994.0,2h,3000000,Robert Zemeckis,82.0,8.800000000000002
284. Мадам де...,7.9,1953.0,1h,11000,Max Ophüls,0.0,7.9
285. Слуга,7.8,1963.0,1h,14000,Joseph Losey,94.0,7.8
286. Лора,7.9,1944.0,1h,52000,Otto Preminger,0.0,7.9
287. Раннее лето,8.1,1951.0,2h,9000,Yasujirô Ozu,94.0,8.1
288. Нетерпимость,7.7,1916.0,2h,17000,D.W. Griffith,99.0,7.7
289. Ганди,8.0,1982.0,3h,242000,Richard Attenborough,79.0,8.0
290. Кагемуся: Тень воина,7.9,1980.0,3h,39000,Akira Kurosawa,84.0,7.9
291. Тихий человек,7.7,1952.0,2h,43000,John Ford,85.0,7.7
292. В укромном месте,7.9,1950.0,1h,36000,Nicholas Ray,0.0,7.9
293. Нибелунги: Зигфрид,8.1,1924.0,2h,7000,Fritz Lang,0.0,8.1
294. Милдред Пирс,7.9,1945.0,1h,29000,Michael Curtiz,88.0,7.9
295. Встреть меня в Сент-Луисе,7.5,1944.0,1h,28000,Vincente Minnelli,94.0,7.499999999999999
296. Кес,7.9,1969.0,1h,23000,Ken Loach,0.0,7.9
"297. Округ Харлан, США",8.2,1976.0,1h,8000,Barbara Kopple,80.0,8.2
298. Иваново детство,8.0,1962.0,1h,41000,Andrei Tarkovsky,0.0,8.0
299. Страх съедает душу,8.0,1974.0,1h,24000,Rainer Werner Fassbinder,0.0,8.0
300. Белая горячка,8.1,1949.0,1h,36000,Raoul Walsh,89.0,8.1
301. Подними красный фонарь,8.1,1991.0,2h,36000,Yimou Zhang,0.0,8.1
302. Я - беглый каторжник,8.2,1932.0,1h,15000,Mervyn LeRoy,0.0,8.2
303. The Beatles: Вечер трудного дня,7.5,1964.0,1h,49000,Richard Lester,96.0,7.499999999999999
304. Красный круг,7.9,1970.0,2h,29000,Jean-Pierre Melville,92.0,7.9
305. Дух улья,7.8,1973.0,1h,21000,Víctor Erice,87.0,7.8
306. Шейн,7.6,1953.0,1h,45000,George Stevens,85.0,7.599999999999999
307. Новый кинотеатр «Парадизо»,8.5,1988.0,2h,288000,Giuseppe Tornatore,80.0,8.5
308. Мамочка и шлюха,7.7,1973.0,3h,9000,Jean Eustache,89.0,7.7
309. Сцены из супружеской жизни,8.3,1974.0,2h,9000,Ingmar Bergman,0.0,8.3
310. Девичий источник,8.0,1960.0,1h,32000,Ingmar Bergman,0.0,8.0
311. Нюрнбергский процесс,8.3,1961.0,2h,87000,Stanley Kramer,60.0,8.3
312. Пианист,8.5,2002.0,2h,932000,Roman Polanski,85.0,8.5
313. Гамлет,7.6,1948.0,2h,19000,Laurence Olivier,82.0,7.599999999999999
314. Дерево для башмаков,7.8,1978.0,3h,7000,Ermanno Olmi,0.0,7.8
315. Иметь и не иметь,7.8,1944.0,1h,39000,Howard Hawks,90.0,7.8
"316. Прощай, моя наложница",8.1,1993.0,2h,34000,Kaige Chen,84.0,8.1
317. Мой дядюшка,7.7,1958.0,1h,25000,Jacques Tati,84.0,7.7
318. Следствие по делу гражданина вне всяких подозрений,8.0,1970.0,1h,14000,Elio Petri,89.0,8.0
319. Бедные-несчастные,7.8,2023.0,2h,303000,Yorgos Lanthimos,88.0,7.8
320. Ветер,8.0,1928.0,1h,3000,Victor Sjöström,0.0,8.0
321. Орфей,7.9,1950.0,1h,14000,Jean Cocteau,0.0,7.9
